ground_truth,LSTM-Enc-Dnc,CONV1D-DENSE,CONV1D-LSTM,AttnLSTM
18803,18632.364583909508,19338.11362747429,18368.35203805566,18247.80075599253
17318,18376.22296456248,19330.932943585794,18302.330652792007,18208.863072045147
15354,17379.966653853655,19327.516877683345,18291.71028905362,17379.74518641457
14243,15330.921585299076,18869.266566213217,16868.145036809146,15079.952113896608
16310,14848.66331654042,16345.283917583523,15618.833343841136,13878.576661244035
20078,17197.202146150168,16191.75807551295,15677.374910883604,16675.530264735222
22844,20478.385180801153,20297.041743665934,18852.328467849642,20331.43058568798
23895,22439.228980362408,19630.20889152412,21941.618360981345,22842.517245195806
24410,23988.410505659882,24092.767364464704,23354.72369293868,24659.559039369226
24216,24115.1243345514,24508.68438299001,23729.18848884105,25247.021495223045
22351,23682.43447879701,23925.246006563306,23638.531953275204,25053.852835565805
22154,22999.356485418968,23046.62671752274,23307.901651367545,24253.008765004575
22757,21399.926961798214,20281.958599343896,21425.09994073957,22382.698577091098
22301,21537.14553003013,20302.193963920698,21464.935465656217,22646.768935143948
22537,22135.44543734938,21375.868181601167,22266.02246424556,22655.41945039481
19647,21378.39396153764,20237.48233154416,21337.45285131037,21475.183261889964
16555,21075.59132803232,20438.58717541769,21335.28080611676,21294.885262019932
13935,18102.72571430356,20002.219091497358,17815.401713117957,16844.28173775971
10852,15208.08730533719,16596.38682421297,15201.537299983203,13326.032189622521
8131,12888.22683019936,13864.653264671564,13871.407948568465,10811.463732033968
6253,10556.648581475021,10703.468208462,11047.065961793063,8316.689821004868
4881,8833.025169283152,8465.33257612586,8916.687012732029,6305.590285629034
3872,7947.279212802648,7847.865588992834,7862.46112537384,4810.587842196226
2952,7306.053163766862,7365.569362729788,7104.796635866164,3722.4991892278194
2530,6756.873478919268,6724.721720814705,6557.054664492607,3007.95909640193
2242,6189.452001422644,6323.363741070032,6145.63969796896,2507.632471591234
2384,6006.120758980513,6140.798656255009,6134.908819496633,2195.2725764513016
2102,5920.220006734135,5970.308729529381,6273.020411014557,2102.563999801874
2353,6366.280247420074,6292.138146072626,6623.943962693214,2260.9472345113754
4388,6669.805971384049,6295.097663491964,6616.266035497189,2676.93228456378
6600,7527.812583655118,7886.1664628088465,6923.0654482245445,3562.4189620912075
11844,10390.251057684423,9697.262651890516,9276.942270874975,6644.195751190186
15429,12844.613073691726,13548.353380575776,11780.688168019055,11073.63387902081
19536,16769.31449866295,17311.15203423798,15912.767206445336,14632.088015809655
20800,19264.623829489574,19698.986716996413,18545.62248897925,18184.680637978017
21237,20959.12514938414,19221.9365645675,20122.403645671904,19584.670478542073
20044,20981.650008432567,19618.17198291992,20476.9553508088,19944.37696446851
19195,20246.55417509377,19766.663122446742,20163.807399481535,19337.323527421337
16819,18976.95207916759,19753.777243160177,18940.89047912508,18435.572807462886
17002,18173.807856835425,19746.33275461616,18450.378643017262,17263.794207893312
15592,16976.663206018507,18202.652494374663,16867.42647205293,16497.312774077058
17319,17242.50048590079,19219.250779150985,18098.64528258145,16045.547812461853
18062,16772.30817783624,17415.33896021545,16965.367636673152,17119.405613072217
16821,17508.06417977065,19628.20185198181,18326.50082366541,17815.144478030503
16158,17848.544600058347,19816.871265390426,18970.47134625912,17475.493867184967
17614,16850.969850033518,18915.038352835923,16768.609657004476,15943.195401869714
17978,16642.105762310326,18240.714089922607,16266.174930796027,16148.166217565536
18693,18323.837082799524,19789.750920483377,18510.588296387345,17977.3941225335
18743,18571.022337004542,19810.65222027665,18377.043576609343,18170.762059088796
17213,18418.10848669708,19810.65222027665,18355.296554420143,18228.98507507518
15389,17399.48323468864,19807.685987298846,18252.510406345133,17375.132619678974
13926,15255.180013112724,19127.7863692008,16816.94970677048,15022.217873774469
16336,14756.57753494382,16582.191885493696,15707.043956220148,13950.163930565119
19647,16697.712046340108,15829.467711172998,15360.621288619937,16232.546917751431
22732,20637.659394931048,20584.777364788577,19038.02125102654,20322.65422671102
24064,22076.953507043418,19906.131913732268,21694.529606431723,22476.98822978884
24881,23876.99705480784,23520.68587335199,23282.16529546678,24437.521361775696
24507,24321.183362700045,24360.213020600386,23881.51428981125,25227.350164562464
24438,24152.472183026373,24261.613731250167,24030.277341023088,25256.55992409587
23792,23245.033220805228,22918.029320470992,23483.252474501733,24277.340109281242
24517,23156.586687937383,23285.82235502452,23566.6813172698,24252.70890071988
24126,22890.896128408607,22497.804709158838,22930.37105703354,23714.069138899446
23957,23630.806433208287,23207.084183856845,23705.662427619103,24131.05831093341
22825,22997.7891324684,23003.989636801183,23047.201335743066,23127.34831428528
21086,22431.01234858483,22340.997294843197,22686.242403864857,22634.196241766214
17957,20962.70395808667,20497.359845265746,21229.65178695321,20611.207905048504
14729,19158.762466602027,19186.49414631538,19100.89303936809,18159.065454110503
11814,16204.135725714264,18184.106895700093,15920.948508545756,14433.462234944105
9221,13475.22211676836,13387.740580454467,13688.859798640013,11375.201579719782
7049,11257.119871288538,11776.38086721301,11507.858969837429,8928.309016615152
6102,9604.225888818502,10032.666839927437,9647.715845465658,6813.838933587074
4971,8365.79048076272,8542.15272539854,8278.616692215204,5066.423757642508
4205,8154.978005141021,8455.411068439484,7898.293009519576,4037.107336550951
3238,7496.473700106144,7973.771215021607,7215.345239579678,3263.627998828888
3474,7018.026948750021,7225.973340809344,6797.151646733284,2753.8096620738506
2952,6391.854261994362,6548.96679624915,6450.983878374102,2417.1698112785816
2858,6878.96233189106,6967.278349339962,6962.162845671177,2484.1210094094276
4621,6886.7442042529565,6885.493358492851,6876.673202395439,2832.426077246666
6570,7112.377625435591,7796.732742846012,6937.423896193503,3537.5141675174236
11368,9796.735839784144,10088.720730528235,9000.166660159826,6145.4061133265495
14644,12532.685310140252,13441.047515660524,11395.33248816431,10650.552527531981
18846,16328.79868144542,16845.368782289326,15435.128073990345,14221.039777174592
19936,18609.997394494712,19945.763508306816,17946.26794699952,17428.321594640613
20315,20510.315033495426,19082.509891512804,19762.89206263423,19281.098955792375
19285,20581.453163346283,19123.010475703515,20060.955117754642,19744.61759550846
18492,19766.535672826227,19227.21543149557,19482.738526009023,18987.396670462564
16873,18571.008029945195,19329.13437833684,18426.614179469645,18123.86103671044
16492,17844.70534447953,19175.825715237293,18037.746554516256,16966.08444954455
15440,17084.061628848314,17908.343874409795,17143.939592026174,16876.03114631772
17341,17029.034342750907,17892.712098158896,17490.363573540002,16167.075478330255
17377,16568.561929628253,16994.325124792755,16767.27384483069,17149.122251279652
16922,17535.963529460132,19121.82974183373,18681.633278619498,18121.24415876344
16465,17485.98473743722,18795.01964375749,18209.92748806253,16815.620610155165
17797,16992.474842444062,18205.20834833384,16871.43361659348,16158.219116613269
18924,16966.036856673658,18108.238457854837,16694.895599514246,16770.868420496583
19579,18414.14221946895,19030.24751762953,18293.074715346098,18351.13757986203
19159,19289.787100069225,18815.06120607629,19249.136072769757,19314.975444500335
17343,19039.54276299104,18764.647216666493,19298.731056027118,19273.14671263192
15856,17511.918910332024,18722.3266431354,18492.18708221987,17738.351774953306
14769,15254.91022285074,18185.006780534983,16955.37284180522,15217.744862377644
16980,15288.29647579044,16476.60286770016,16266.793054156004,14854.954042941332
21604,17540.920779533684,16817.934849999845,16313.213622123003,17506.73946286738
24026,20892.10358387977,20138.989323206246,19231.941469270736,20542.307662062347
26085,23621.297494396567,20636.19693608396,23030.89887958765,24049.66778615117
27462,24777.310809493065,24457.428612925112,24159.793017700318,25633.66948211193
27681,25880.008429959413,26532.094412982467,25081.245890542865,26885.335708275437
26427,26227.26995840669,26537.8546102643,25535.03661496937,27300.088599339128
25444,25884.70348127187,26197.37754775584,25565.51590703428,26961.81599189341
25168,24786.588207528,24980.372362717982,24641.428783386942,25996.498259052634
25376,24278.310069508847,23861.867777518924,24118.191592887048,25623.681986764073
26024,24278.516207955778,23548.114549987018,24096.585013464093,25306.95405881107
26428,24304.26687091589,24053.885448850688,24462.334182396535,25159.476891055703
25890,24393.96074577421,24825.26924034953,25030.98957076669,25300.477924600244
25472,24187.537617564198,25378.50045081973,25167.934406995766,25155.37806454301
24841,23309.228704117242,24011.906200878322,24397.88934747875,24156.830288492143
22159,22754.950158506632,22948.751540564,23902.69808103144,23392.083220645785
20046,21931.10384028405,22311.422267325226,23208.604819878936,22450.448634698987
17945,19482.833693502005,18156.935308162123,20235.684313759208,19461.282426192425
15954,18050.44538360089,17710.137231986966,18022.253177165985,17452.224457088858
14210,16029.694130800664,17684.771545715634,16433.951771900058,15426.62354914099
12146,14504.1104940027,15092.859125293791,14959.042279407382,13338.871753454208
10342,12991.345690399408,14264.408853769302,13727.888288617134,11478.37766815722
8970,11369.35670800507,12526.048002526164,11863.711157470942,9049.49039325118
5302,10203.319691941142,11348.214378058909,10418.199460148813,7049.58540186286
3600,9563.725815594196,10229.480587929489,9603.104682534931,5798.180206537247
3192,7073.068833887577,6682.042302876712,7189.090325772762,3970.866235733032
3473,6000.076756358147,6533.684521019461,6563.1115142703065,3478.410245448351
4304,6775.107096105814,7299.915727287531,6921.638246059418,3823.342351049185
4478,7751.996612131596,8841.441223949194,7166.785328269005,4486.584920555353
6310,8601.635054588318,8564.678460389376,8014.870432853699,5235.129097700119
7465,8977.866334348917,9402.035022348167,8123.64846497774,5784.541199266911
11664,10578.282607093452,11342.91434252262,10118.812272086741,7404.727492183447
12000,12251.915402039886,12118.53156368434,11508.772869750857,10012.95346403122
14970,15463.356194064021,16541.943207740784,15129.369572825732,13444.114482015371
15205,16208.936474077405,15778.653708063066,15309.893127866091,14927.654051102698
17118,16970.30036035925,18227.49173925817,16620.226472817358,14820.578559041023
17495,17378.33141536638,18415.1738606412,17060.58432842046,17186.01928139478
19508,18267.87735600769,19028.051967981268,17739.414731066674,16981.720897488296
20017,18614.074687423185,19069.634195056744,18079.895151354373,19203.178987829946
20707,19578.793841368984,18694.12268447317,19465.791084259752,19845.369376462884
20941,20046.834926120937,19068.6025538845,19932.986355371773,21154.27081105858
20725,20281.149958509952,19068.6025538845,20190.460867084563,20830.000435002148
19358,20390.225519072264,19068.6025538845,20451.760619297624,20912.139452572912
20008,20168.686836671084,19290.650377810933,20170.133747540414,20674.79417041503
20758,18943.79758599028,19048.720924050547,18838.775886897,19297.32651887182
21068,19345.912799698766,19061.080179461278,19819.394435748458,20209.840399430133
20316,19909.16349566356,19061.080179461278,20754.51405403763,20640.844394525513
19248,19870.646683794912,19059.651261908934,20634.23460610211,20284.69278057851
20449,19229.72343710065,19034.191302335814,19485.113789841533,18939.77467448637
23133,18890.87956921384,19617.308431446203,18371.6217850782,18201.618882331997
23733,21019.377431951463,20166.41117479,20070.506393782794,22189.261295095086
25602,23397.771882630885,21964.39607540518,22848.43365220725,25404.218119949102
27074,23209.544122122228,22645.61823879928,23099.351443007592,25381.888012096286
25487,24924.963165730238,24951.244357809424,24523.358170226216,27050.610857859254
22437,25508.495559975498,26218.696234107018,25430.266311347485,27464.654235571623
21569,23725.545444361866,23084.9416064173,23811.375829234723,25245.5248016268
21542,21250.135700188577,21727.776292547584,21085.186985142533,21917.730827525258
22661,21322.548253249373,21597.837097715583,20744.977377049625,21995.98650041595
23754,21809.38989066333,21224.02677678317,21224.21568836272,22209.433664813638
25114,22876.903240405023,21359.473751492802,22234.721538200967,23845.87744884193
25308,23273.75800022483,23316.71363200248,23099.759048208594,25064.636270582676
25251,24055.753250047565,24102.045930422843,24131.799066230655,26211.476132810116
25423,23652.378266915683,23724.171090722084,23987.935452893373,25826.867339849472
23964,23410.310998216268,23268.89418400824,23781.785326734185,25265.76082316041
22134,23265.975835882127,23118.74072021246,23942.58557853103,25000.84722454846
20253,21723.035400249064,20651.01824662089,22352.369947120547,22770.39010336995
19354,20240.32272079587,19477.458637148145,20395.66088771075,20700.28701432608
17470,18500.778836334124,19258.14579740353,18500.07085588202,18791.49361058511
14916,17798.101266577843,19266.519587848336,18020.916051078588,18204.726434018463
13069,15835.880485549567,18324.30585797876,16210.880190283058,15652.973491214216
10617,13738.146742150187,13971.928179621696,13816.917907148601,12358.376858472824
6053,12313.894167095425,12574.414622545242,12724.926638767123,10163.28620404005
4097,10444.966508284211,9606.282601594925,10680.191498845816,7608.637541621923
3219,6982.352734237909,5505.478794902563,7400.4739158451575,4695.334843784571
3050,6142.945299118757,5757.285375267267,6820.5942014455795,3295.7236966192722
3114,6571.435303002597,6594.549671292305,6907.651197671888,2829.5331314504147
3521,6754.362444013357,6509.297116428615,6683.370231568813,2959.143409907818
4745,6946.666840493679,6132.305518656969,6772.305248320103,3283.3857558071613
6290,7714.820448368788,8243.237962275743,7212.813182055948,3855.4964450001717
8298,9213.992377668621,8899.529052823782,8688.410581320524,5084.325684636831
9919,10824.969012096524,11863.525457680225,10498.24074164033,7606.134682178497
13441,12538.432660266755,11436.129213884473,12372.758664906023,10419.063139364123
15096,13998.320908367634,14030.364049613476,13463.876326724887,12382.834922417998
18880,16671.143253169954,16307.835043750703,16229.18008711189,15081.348074115813
20210,18249.86943998188,18979.23252223432,17510.48703647405,17407.61110430211
22395,20029.653972724453,19148.3510516258,19533.031927347187,19229.876982505433
22791,20934.401236917824,19331.697349328082,20358.18807145208,21598.216672759503
22619,21812.764166813344,19940.867610699497,21673.05325044692,22263.120467044413
22916,22053.169918753207,20056.816873833533,21937.920132130384,22846.32146307826
22472,21703.50816211477,19506.681700056884,21587.950189754367,22153.055091559887
22015,21688.931458495557,19771.11995392153,22146.445814102884,22563.17599916458
23848,21313.11712732166,19510.103423087392,21759.06612332165,22027.842919938266
22149,20741.84982467816,19510.364380930085,21242.008122555908,21608.4599432908
19787,22080.177267089486,20503.64298016578,23329.473777055744,23773.537161029875
18399,20219.62996829115,18508.270187797025,21082.129946134984,20801.761219657958
18309,18280.602171383798,18556.3947557304,18273.654196195304,18886.5438732747
17623,18031.777444969863,18616.691638365388,17564.410343155265,18072.797827985138
18567,19039.422977866605,18541.4112498574,18459.69648039341,18562.958776162937
18557,18658.99644493312,18590.760823249817,17537.830600704998,17731.43839948997
20670,20092.29020555317,18589.48194733262,18140.19926051423,19590.120771277463
16805,19474.452968513127,18632.980590408668,17902.931572254747,18941.72481426969
14576,21520.81095598638,19068.90026481077,19941.008819915358,21423.773471951485
14056,16324.069176398218,20208.240089146417,16323.532807663083,16430.545815832913
14591,14839.89863679558,16147.748393036423,14554.307833656667,13789.398132503033
13904,15330.766543492677,18033.928029574454,16302.845383808015,13751.51011954248
14487,16555.236509740353,18613.320646999404,16876.187356047332,14399.540489211679
15516,15668.762061156332,16910.37071657926,14851.067194491623,13256.494041576982
14292,16014.921654053032,18240.049249634147,14685.3937830925,13856.302613705397
12676,16774.854250438508,20140.40072191041,16029.634274736047,15491.728552654386
11970,15194.130914933981,17754.960518971086,14607.557540625334,13694.846573024988
10938,13366.109474644065,14956.957244493069,13229.81225183606,11503.700579240918
9181,12869.36370240152,14974.332438118754,13255.428311645985,10865.02235469222
7630,12275.13488341868,13600.37209647894,12432.06346976757,10222.751598343253
6241,10760.430743321776,11431.14860534668,10425.192400380967,8409.573586136103
5370,9419.004946619272,9998.655748069286,8969.389547675848,6637.800203680992
4199,8478.065274983644,9125.926295787096,7972.901112228632,5190.741008102894
3815,8032.718635380269,8604.018785864115,7447.075219929217,4245.023362606764
3367,7242.6594597399235,7604.719159245491,6717.216646254063,3409.5354777872562
3278,7087.880436062813,7612.825714260341,6583.687985420227,3046.3160305321217
2542,7031.2455036640185,7487.156008720398,6525.7262922525415,2881.741634875536
2341,7059.384277611972,7021.09041133523,6635.043904900551,2824.4374824762344
2774,6428.798009037972,6346.1686097085485,6324.014274299146,2675.0122188031673
3479,6343.290846914053,6943.645423144101,6338.58061259985,2669.0558104217052
5228,7369.995791703462,8144.264645516872,6938.514736473559,3173.365053385496
5531,8455.183323413134,8953.589882463217,7716.2021015286455,4112.326263099909
7133,10094.317418560386,11027.302949160337,9641.11123970151,5933.640612363815
8572,10234.46119646728,11210.836242318152,9633.59565383196,7142.786842107773
11251,11074.126742616296,12217.952778995037,10791.933136120439,7615.186087071896
11815,12490.745187595488,14372.157361581922,12282.244032010438,9721.298511594534
13223,14537.680110886691,15720.272730462251,14435.659098505974,11537.896786928177
12862,14763.331926859917,16921.18539354205,14522.017676651478,12505.130497798324
14360,15059.029645495117,16910.790876954794,14990.743219152093,12454.923230797052
14101,14777.350801154973,17519.59012196958,14574.724883288145,13160.81076450646
16056,15604.19225845486,18858.13063737192,15660.80821210146,13272.009901449084
16454,15704.718329124153,18040.184886202216,15617.090802408755,14438.665332853794
17460,16806.194885872304,19887.21144820424,17028.583816371858,15479.442000463605
17295,17311.20429880172,20011.365280658934,17483.418372169137,16770.70812303573
17872,17780.51263498515,20133.02302397508,17725.52783209458,17081.22269950062
17517,17650.7623517327,19831.297233920082,17510.799455933273,16970.760230123997
18228,17968.475422915068,19781.526003750507,17849.715881049633,17451.025145940483
17900,17752.248163301498,19816.00006766944,17624.839420098808,17163.685669772327
18245,18210.591014437374,19462.10075713927,18203.98859852925,17591.127754554152
17379,17929.744899347425,19537.16523040564,17924.353181838993,17043.493232116103
16921,18129.867081828408,19474.95035781106,18074.61920423433,17164.70833253488
17309,17454.18817397952,19635.701926371203,17431.325201161206,16440.544406451285
18431,17290.46796816215,19505.69805322913,17104.282175399363,16704.656517758965
19142,18114.023765485734,19958.43204438314,17872.510822340846,18227.13012103364
19449,19285.007520314302,19814.513812386896,18879.785612612963,19394.038261823356
18494,19708.599673969205,19393.84473329736,19153.513235725462,19473.952632033965
17217,19738.331203197595,19362.249198622536,18967.803079690784,19157.4417644348
16075,18623.265586145226,18663.235422231253,17838.07635831833,17717.52011258155
15157,17345.773365974426,17269.743170764297,16965.453187048435,16384.637966156006
14245,16439.006251581013,16597.755630217493,16595.773080565035,15384.092457450926
14069,15863.415151216092,15789.586637251079,16336.735303632915,14497.123977348208
13506,15161.672576986253,15308.495123781264,15435.70619598031,13374.770793184638
12936,14980.502576448025,15462.53718791157,15063.183072417974,12983.771124407649
10400,14340.455253913999,14481.517603427174,14130.155496582387,12184.227828323841
8189,13671.499204054475,13758.459262654185,13319.490651711822,11397.09663617611
6941,11247.599545225501,11391.088255211711,10897.565951034427,9268.134961932898
5164,9207.631867855793,9161.134508937597,9066.983547121285,7419.3533945679665
3940,8622.609787553549,8836.763691484928,8554.456796437502,6216.002399802208
3073,7523.399001836779,7377.503202110529,7267.731267333031,4894.698168158531
2690,6619.8971087634545,6315.8983758986,6475.4518696665755,3865.2626188993454
2006,6262.34092116356,6436.082346111536,6104.211125791073,3167.2427999079227
1584,6288.536270886661,6333.608763486148,6038.760708987712,2736.8584245741367
1495,5793.471140146256,6156.065748482944,5820.875290393829,2404.5317142009735
1692,5469.212443321942,5704.875989049673,5768.447217404842,2185.2693141400814
1663,5745.508037596941,6180.850246965885,5973.805491626264,2177.6778132617474
2275,6322.630285292864,6305.950005978346,6315.885528743266,2278.3983431458473
4423,6517.750544637442,6610.273421496154,6409.464208185673,2420.6256960630417
6390,7383.791300684214,7699.350137501956,6963.1742671728125,2973.919974386692
11694,10010.461699858308,10246.612853527071,9427.043762087822,6409.446689337492
14427,11856.611936226487,12368.3661057055,11442.106060922146,9911.853359103203
18672,16079.790445096787,16490.116907186806,15636.58052100986,13382.592958897352
19568,18143.29089924693,18492.774766581133,17739.039097763598,16796.327394634485
20068,20055.169372152537,18226.50353023037,19426.39761827886,17586.696945868433
18961,20152.05254433304,18224.035270512104,19684.198856510226,18097.283192135394
17965,19498.837489793546,17218.93398533762,19119.318925913423,17465.74579609558
15858,18297.703195035458,18681.69649246335,18025.54292487353,17073.38622672856
15942,17384.83105403185,17455.770271960646,17466.032229263335,15672.386126883328
